category,overlayMarkerColor,lat,long,icon,text,description
Cities,red,-99.2,118.6,building,Meletis,"The largest polis in Aristeia, a city-state of progressive thinkers, pious thaumaturges, and wise oracles. <a href='https://mtg.fandom.com/wiki/Meletis' target='_blank'>Wiki</a>"
Cities,red,-83.5,59.2,building,Akros,"A warrior polis high in the Katachthon Mountains, inspired by Sparta. The Akroans are known as the most feared warriors in Aristeia, living and dying by the spear in the name of countless kings. <a href='https://mtg.fandom.com/wiki/Akros' target='_blank'>Wiki</a>"
Cities,red,-98.5,171.4,building,Setessa,"A polis located in Melini's Nessian Forest, inspired by Themiscyra. Composed primarily of women and children, it is the favored polis of Karametra. Setessa encompasses a sprawling area with tree-like rings radiating from the Temple of Karametra at its heart. <a href='https://mtg.fandom.com/wiki/Setessa' target='_blank'>Wiki</a>"
Cities,red,-20.0,70.2,building,Skophos,"A labyrinthine city of the minotaurs in Aristeia, described as a dark reflection of Akros. The city is a maze carved from red sandstone, with homes, shops, fortresses, and temples built into the caverns' walls. <a href='https://mtg.fandom.com/wiki/Skophos' target='_blank'>Wiki</a>"
Cities,red,-27.9,171.9,building,Tethmos,"Tethmos is the primary leonin den and capital city of Oreskos, high in the mountains. <a href='https://www.worldanvil.com/w/theros-chaoticus/a/tethmos-settlement' target='_blank'>Wiki</a>"
Cities,red,-56.0,230.8,building,Asphodel,"A necropolis in the Despair Lands, devoted to Phenax. Asphodel is a desolate city, a collection of decaying ruins known for its lack of hope and despair. <a href='https://mtg.fandom.com/wiki/Asphodel' target='_blank'>Wiki</a>"
Cities,red,-68.3,191.9,building,Odunos,"More accpeting of outsiders than Asphodel, Odunos is still a bleak city, but for those looking for dark magic and forbidden knowledge, Odunos may be the best start."
Cities,red,-146.8,173.6,building,Neolantin,"Though they are regarded as Meletians, the people of Neolantin view themselves as citizens of Olantin, a coastal polis that long ago vanished into the sea. According to legend, an angry Heliod smote the polis with his spear, sinking it in punishment for its people's utter hubris. The fact that the Neolantians were spared this fate, they say, is evidence of their humility, and they take special care in their sacrifices to Heliod. <a href='https://www.worldanvil.com/w/theros-homebrew-campaign-hekatenyx/a/neolantin-article' target='_blank'>Wiki</a>"
Cities,red,-119.8,101.1,building,Altrisos,"A Kraken that escaped its sealock once threatened the small seaside city of Altrisos. Recently weakened by a triton raid, the city had no defenses left and would be destroyed by an attack. The people prayed to Ephara, and the large image of her face on the city's wall came to life. The walls of the city grew impossibly high and strong, and the Kraken could do no more than dash its head against the impassable barrier. The monster soon returned to the ocean to find an easier meal. Altrisos now has Ephara's face on nearly every building and wall in the entire city in gratitude."
Cities,red,-157.9,64.1,building,Pytharis,"The Merchant Kings of Pytharis are a far cry from the warriors of Akros and the philosophers of Meletis. They are known for their cut-throat trade practices, and unlike other Aristeians, they would choose gold over honor every time."
Cities,red,-199.9,183.4,building,Thetis,"The great merfolk city of Aristeia, the majority of the city is located in the crystal-clear waters of its bay."

Towns,lightblue,-105.7, 141.1,place-of-worship,Oxus,"Oxus is a quiet town with a notably wealthy population, consisting largely of merchants who have retired from trade with large fortunes at their disposal. The tomb of Kynaios and Tiro stands in the center of the town, the subject of many local legends."
